Customer ID,Description,Product,Release Date,Support Expiration,Version Number,Version Status,Database Location,Farm Level Or Commercial,HMI Tags (Number Currently),IO Count,Number Of Customers,Number Of Mills (Enterprise or Office Pro),Number Of Users,Other Sites With Enterprise,Ownership or Subscription,Previous Version,Product Installed Date,Product Notes,Product Serial Number,Product Updated Date,Reg Key,SQL Version,Subscription End Date
1980421,,Mark IV,,,,,,,,,,,,,,,,,,,,,
1980421,,Red Lion DLL,,,5.4.0.0,Released,,,,,,,,,,,,,,,,,
1980421,,Scale Head,,,Rice Lake 920i,Released,,,,,,,,,,,,,,,,,
1980421,,FOPro Production Interface,,,,,,,,,,,,,,,,,,,,,
1980421,,FOPro Multi-Customer,,,,,,,,,,,,,,,,,,,,,
1980421,,FOPro Manual Accounting Interface,,,Oakland,Released,,,,,,,,,,,,,,,,,
1980421,,FOPro Auto Accounting Interface,,,Oakland,Released,,,,,,,,,,,,,,,,,
1980421,,FOPro Tags,,,,,,,,,,,,,,,,,,,,,
1980421,,Microsystem,,,Poly,Released,,,,,,,,,,,,,,,,,
1980421,,Bulk Bag Rack,,,,,,,,,,,,,,,,,,,,,
1980421,,MOTH,,,5.0.6.0,Released,,,,,,,,,,,,,,,,,
1980421,,Computer/Server,,,,,,,,,,,,,,,,,,,,,
1980421,,Other Item,,,,,,,,,,,,,,,,,,,,,
1980421,,FBPro,,04/26/2026,6.2.38,Discontinued,c:/Batcher,,,,,,,,,6.2.21,05/20/2011,,,03/27/2018,80803884,,
1980421,,FOPro Split Owner,,,,,,,,,,,,,,,09/20/2021,Ordered by Linda on 09/17/2021 and approved by John,,,,,
1980421,,FOPro Base Program,,04/26/2026,8.5.49,Released,,,,,,,2,,,8.3.150,04/26/2011,,,06/29/2018,,,
1980423,,EZ Weigh IV,,,,,,,,,,,,,,,,,,,,,
1980423,,Motor Control Panel,,,,,,,,,,,,,,,,,,,,,
1980423,,FOPro Production Interface,,,,,,,,,,,,,,,,,,,,,
1980423,,FOPro Lot Tracking,,,,,,,,,,,,,,,,,,,,,
1980423,,Scale Head,,,Rice Lake 120i,Released,,,,,,,,,,,,,,,,,
1980423,,Red Lion DLL,,,2.1.1.11,Released,,,,,,,,,,,,,,,,,
1980423,,MOTH,,,5.0.5.0,Released,,,,,,,,,,,,,,,,,
1980423,,OrdSync,,,5.4.02,Discontinued,,,,,,,,,,,,,,,,,
1980423,,Computer/Server,,,,,,,,,,,,,,Windows 10,01/12/2018,,,,,,
1980423,,Other Item,,,,,,,,,,,,,,,,,,,,,
1980423,,FOPro Spreadsheet Pricing,,,,,,,,,,,,,,,12/29/2021,,,,,,
1980423,,FOPro Contract Pricing,,,,,,,,,,,,,,,01/12/2018,,,,,,
1980423,,Loadout NexGen Whiteboard (NO SCALE),,,,,,,,,,,,,Trial Only,,,,,,,,
1980423,,Scale Head,,,Rice Lake 920i,Released,,,,,,,,,,,,,,,,,
1980423,,HMI,,,InduSoft,Released,,,,,,,,,,,,,1500 tag,,,,
1980423,,NexGen Office Base Program,,,,,,Level 1/Farm Level,,,,,,,Outright Ownership,,,,,,,,
1980423,,NexGen Controller,,,,,,Level 1/Farm Level,,,,,,,Outright Ownership,,,,,,,,
1980423,,FOPro Base Program,,02/01/2026,8.4.48,Released,,,,,5.00000000,,,,,8.4.5,,,,01/11/2018,,,
1980423,,FBPro,,02/01/2026,6.2.33,Discontinued,Batcher,,,,,,,,,6.2.17,12/01/2005,,,01/11/2018,,,
1980424,,EZ Weigh IV,,12/15/2010,,,,,,,,,,,,,,,,,,,
1980424,,FBPro,,12/15/2010,5.4.48,Discontinued,Batcher,,,,,,,,,5.3.42,12/15/2008,,,10/10/2016,22401680,,
1980424,,MOTH,,,5.0.5.0,Released,,,,,,,,,,,,,,,,,
1980424,,FOPro Base Program,,12/15/2010,,,NA,,,,,,2,,,8.1.54,12/15/2008,NA,NA,10/10/2016,NA,,
1980424,,FOPro Production Interface,,,,,,,,,,,,,,,,,,,,,
1980424,,OrdSync,,,5.3.12.0,Discontinued,,,,,,,,,,,,,,,,,
1980424,,Red Lion DLL,,,2.1.1.11,Released,,,,,,,,,,,,,,,,,
1980424,,Scale Head,,,Rice Lake 920i,Released,,,,,,,,,,,,,,,,,
